"#","Bug","Steps to reproduce","What happens (bug)","What we expected to happen","Reference (for automation QA team)","Notes"
"11","Location Settings → Auto Add-On — Unsaved Changes dialog Discard button dismisses dialog but does NOT complete the deferred navigation; user stays on /settings/location instead of navigating to /home","1. Navigate to /navigator/locations/1604/settings/location. 2. Switch to the Auto Add-On sub-tab. 3. Toggle the Express Content Design Session checkbox — confirm Save button enables (form dirty). 4. Click the sidebar Home link. 5. Observe: Unsaved Changes alertdialog appears. 6. Click the Discard button. 7. Observe: dialog dismisses but URL remains at /settings/location. 8. After 10 seconds the URL has NOT changed to /home. Expected: URL transitions to /locations/1604/home within 1-2 seconds.","The Discard button click dismisses the dialog but leaves the user on the original /settings/location URL. No navigation occurs to /home. The dirty checkbox change remains in the UI. User is left in ambiguous state — dialog gone, dirty form preserved, no navigation. Confirmed on 2026-05-11 full-suite + 2026-05-12 fresh re-run (both attempts failed consistently).","Clicking Discard should (1) dismiss the dialog AND (2) complete the originally-attempted navigation that triggered the dialog (sidebar Home click → /home).","BUG-LOC-AAO-001","Severity high: breaks documented routing-guard flow; failure mode is user-confusing (dialog closes, nothing happens, dirty form preserved); confirmed on two consecutive Playwright runs 2026-05-11 and 2026-05-12. No data corruption — pending changes are preserved. Workaround: after clicking Discard, click sidebar Home a second time."
"12","Local Office Settings — Basic Information → Return Date Offset: clearing field + save + reload now leaves the value empty instead of coercing back to default 1 (behavior change from 2026-05-08 baseline)","1. Navigate to /navigator/locations/1604/settings/local-office. 2. Locate the Return Date Offset input (currently shows 1). 3. Clear the input completely, then Tab away. 4. Confirm Save button enables (form dirty). 5. Click Save → confirm Save Changes dialog. 6. Wait for save success toast. 7. Reload the Basic Information tab (navigate fresh to the local-office URL). 8. Read the Return Date Offset value. 9. Observe: value is empty string. Expected (per 2026-05-08 baseline): value is 1.","After clearing Return Date Offset, saving, and reloading, the field is now empty instead of being re-populated with the default 1. Behavior was live-MCP-verified working on 2026-05-08; broken on 2026-05-13 + 2026-05-14. Confirmed deterministic: Expected 1 / Received (empty) on both attempt 0 and retry 1.","Per the 2026-05-08 live verification cited in TC-LOS-BAS-065 (lines 882-883), the app should coerce a saved empty Return Date Offset back to the default 1 on the next reload. Clearing and saving is equivalent to resetting to the default.","BUG-LOS-BAS-065","Severity low: no data loss — user intent to clear the field is preserved as empty. Bug exists primarily as a TEST CONTRACT BREAK. Encore disposition needed (see Q-NEW-1 below): is removal of empty→1 coercion intentional (store-as-typed) or a regression? Recommended: review recent changes to local-office form serializer or server-side date-offset field coercion."
"13","Location Settings → Shared Setup Locations — Change Local Office dialog and per-row Delete behave incorrectly after add+save+reload (umbrella)","1. Open /navigator/locations/1604/settings/location → Shared Setup Locations. 2. Add a location, Save, reload. 3a. Click a row Delete — it does not respond. 3b. Reopen the Add dialog and search the just-added number — it still appears instead of being hidden. 3c. Search 1233 — a phantom empty row appears (Miami-region offices excluded from the lookup). 3d. Toggle Shares Inventory back to original on an added row — Save stays enabled at net-zero.","Per-row Delete clicks no-op after reload; the dialog does not exclude already-added locations and drops Miami-region offices; net-zero edits leave the form dirty.","Per-row Delete works after reload; the dialog excludes already-added locations and includes valid offices; reverting to original disables Save.","BUG-LOC-SHR-001 (referenced in tests; no JSON file yet)","Blocks 9 tests: TC-LOC-SSL-007/026/030/031/032/041/042/043/044. User-verified 2026-05-22; related baseline divergence SHR-DIV-006. TC-LOC-SSL-024 (already-added exclusion) is the same dialog area and currently fails live."
"14","Location Settings → Pricing — several fields do not persist after save; one save path returns HTTP 500","1. Open /navigator/locations/1604/settings/location → Pricing. 2. Change a pricing dropdown and Save, then reload. 3. Set a valid date and Save, then reload. 4. Uncheck Corporate Pricing and Save, then reload.","Pricing dropdowns: POST update-location-pricing returns HTTP 500 and the value reverts. Dates do not persist after save+reload. Corporate Pricing uncheck reverts to checked on reload although save returns 200.","Saved dropdowns, dates, and the Corporate Pricing checkbox persist after reload.","potential product bug — no ID/file yet","Blocks 7 tests: TC-LOC-PRI-020/025/026/027/028/029/030. Note: our save helper currently stops listening before the slow 500 returns (an our-side hardening item), but the 500 is the underlying blocker."
"15","Location Settings → Account & Address — clearing optional Phone 2 is not saved; the prior value returns on reload","1. Open /navigator/locations/1604/settings/location → Account & Address. 2. Clear the Phone 2 field. 3. Save (it enables and reports success). 4. Reload — Phone 2 shows the prior value again.","Clearing Phone 2 and saving reports success, but the empty value is not persisted; the old value reappears on reload.","Clearing an optional field and saving persists empty; after reload Phone 2 is empty.","BUG-LOC-ACC-001","Filed at reports/bugs/BUG-LOC-ACC-001.json. Blocks TC-LOC-ACC-029. New-site-only surface (no old-site equivalent). A manual human clear reproduces it; an automated clear may not dirty the masked input."
"16","Location Settings → Notes — the Delete control disappears when a single empty row remains, so the row cannot be removed","1. Open /navigator/locations/1604/settings/location → Notes. 2. With one note row, clear its textarea. 3. The row Delete button is no longer present in the page. 4. The empty row cannot be deleted.","After clearing the only row text, the Delete button vanishes from the DOM; the row cannot be removed.","Delete stays available on the single remaining row; clicking it removes the row and the empty state persists after save+reload.","BUG-LOC-NTS-004","Filed at reports/bugs/BUG-LOC-NTS-004.json. Blocks TC-LOC-NTS-062. New-site-only multi-row Notes form-array (the old site is a single textarea with no rows/delete)."
"","","","","","",""
"--- QUESTIONS FOR ENCORE (11 items requiring product-team input) ---","","","","","",""
"#","Question","Context (tied to)","Why we can't answer ourselves","Status / disposition (user 2026-06-01)","",""
"Q1","Is the ""Ok"" label on the Notes save-confirmation dialog intentional UX, or a regression?","CAT2-03 (BUG-LOC-NTS-002)","We can't read product-team intent","ANSWERED — close. Intentional: per user 2026-06-01 the Ok button is now the confirm label on ALL save dialogs app-wide, not just Notes.","",""
"Q2","Is the auto-spawned empty Notes row a ""ready-to-add-next"" affordance, or a FormArray default-state bug?","CAT2-04 (BUG-LOC-NTS-003)","Product design intent","VERIFY on e2e + nav2 (user flagged 2026-06-01).","",""
"Q3","Is the absence of phone-format validation on Phone 1 intentional?","CAT2-05 (BUG-LOS-BAS-016)","REQUIREMENTS.md silent — needs product-side confirmation","VERIFY on e2e + nav2 (user 2026-06-01).","",""
"Q4","Is ""Use Equipment QC"" disabled on office 1604 by role/feature-flag, or globally?","CAT1-02 (LO-001)","Role/permission matrix is Encore-side","VERIFY on e2e + nav2 — per user 2026-06-01, Use Equipment QC becomes checkable only when the Use Fulfillment checkbox is ON; verify with Use Fulfillment ON.","",""
"Q5","Is ""Marriott PMS Account Enabled"" column hidden when office isn't a Marriott PMS office, or is it a legacy orphan?","CAT1-03 (LO-002)","Office-type metadata is Encore-side","VERIFY nav2 baseline FIRST — per user 2026-06-01 nothing like this shows on e2e; confirm what the column is on baseline before judging.","",""
"Q6","Is the ""Notes"" textarea on LO Basic Info hidden per office, or removed from UI but column kept for legacy data?","CAT1-04 (LO-003)","Per-office UI rules are Encore-side","PREMISE UNCONFIRMED — per user 2026-06-01 there is NO Notes field in Local Office Basic Info; confirm on nav2 baseline before treating as a valid question.","",""
"Q7","What is the desired behavior for unknown routes under /locations/{id}/? Silent redirect / 404 / Toast?","Cat 3 #6 (BUG-LOC-BI-001)","Product intent on router behavior","RECLASSIFIED to BUG (report) — per user 2026-06-01 the bad URL currently tries to LOAD the page AND shows an error message; see BUG-LOC-BI-001 (may differ from the filed silent-redirect behaviour — re-verify).","",""
"Q8","Should ""Commission structure"" link be fixed (URL corrected) or removed entirely? Is the commission feature still in scope for current Encore Navigator?","Cat 3 #9 (BUG-LOS-ECT-001)","Product scope decision","RECLASSIFIED to BUG (report) — confirmed by user 2026-06-01; see BUG-LOS-ECT-001.","",""
"Q9","Should EnableMultidayPricing + Merchant Currency be tracked in Location Management History? Currently absent on BOTH new and old sites (feature gap, not regression).","Cat 3 #7+#8 (BUG-HIS-001/002)","Product roadmap decision","ASK Encore — keep as a question; also verify presence/absence in Location Management History on e2e + nav2 (user 2026-06-01).","",""
"Q-NEW-1","Is the removal of empty→1 coercion on Return Date Offset (LOS Basic Info) intentional (""store as typed"" semantics) or a regression of a documented UX affordance? Behavior was live-MCP-verified working on 2026-05-08; broken on 2026-05-13 + 2026-05-14.","Cat 3 #12 (BUG-LOS-BAS-065)","Product intent on coercion vs preserve-user-input semantics","POTENTIAL BUG + baseline check — per user 2026-06-01 clearing the field leaves it empty on e2e; ask Encore and confirm old-site coercion on nav2.","",""
"Q-NEW-2","Should the Change Local Office dialog hide locations that are already added? Today an already-added location still appears in the dialog. (Also: is excluding Miami-region offices from the lookup intended?)","TC-LOC-SSL-024 + BUG-LOC-SHR-001","Product/UX intent on dialog filtering — treated as a UX improvement, not a hard defect","POTENTIAL BUG — ask Encore (user 2026-06-01).","",""
"","","","","","",""
"--- TEST RUN FINDINGS (2026-06-01 — 2 clean full runs, 1 worker, 369 functional tests) ---","","","","","",""
"#","Item","Detail","Status","Reference","",""
"F1","Run summary","369 functional tests: 328 passed first try in both runs; 4 fail every run; 15 flaky (pass on retry); 22 skipped (intentional). Auth and full-suite completion verified on both runs.","stable","2 clean runs 2026-06-01","",""
"F2","Test fix (our side) — TC-LOC-SSL-035","Clear-search restore bound lowered 3000 → 2000; the dialog renders a stable ~2653-row ceiling so the old bound was unreachable. Documented in code; not re-run per request.","fixed (our side)","SEARCH_BULK_LOWER_BOUND","",""
"F3","Test items (our side) — TC-LOS-HIS-006, TC-LOC-MGH-015","The read-only check counts the paginator page-number input as editable; the history data itself is read-only. Set to fixme, deferred to the History cases rework.","deferred (our side)","HIST rework","",""
"F4","Skipped — blocked by product issues (20 tests)","SSL family 9 (BUG-LOC-SHR-001); Pricing 7 (potential pricing bug); ACC-029 (BUG-LOC-ACC-001); NTS-062 (BUG-LOC-NTS-004); LOS-BAS-048 (BUG-LOC-LOS-001); MGH-019 (BUG-LOC-MGH-001).","waiting on Encore","see bug rows above","",""
"F5","Skipped — data prerequisite (2 tests)","TC-LOC-MGH-006 and TC-LOC-MGH-007 need a location with <=20 / 0 history rows; office 1604 has 2900+. Not a product issue; needs a test fixture.","our side (fixture)","TC-LOC-MGH-006/007","",""
"F6","Flaky — pass on retry (15 tests)","Notes form-array: NTS-028/031/032/039/046/047/059. Account List dialog: ACC-004/030/020. Save/dirty races: LI-021-029, CUR-021, BAS-006, BAS-065, MGH-008. Timing/Radix; self-recover on retry.","monitoring (our side)","—","",""
"F7","Verification protocol (user 2026-06-01)","Every open item is verified on BOTH e2e (live) AND nav2 (baseline); the baseline is confirmed even if its behaviour has changed/expired. This session reconciliation: 20 unique items need both-site verification = 40 checks — 11 bugs + 3 potential bugs + 6 questions. Excluded: Q1 (resolved — Ok button intentional app-wide) and BUG-LS-001 (nav2 has no data-testids, nothing to compare).","plan","this session","",""
